path,category,description,materials,gemstones,gender,detected_category
data/Jewellery_Data\necklace\necklace_42.jpg,necklace,a diamond and gold necklace with hanging pendant.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_43.jpg,necklace,a gold and diamond necklace with a small heart charm.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_44.jpg,necklace,a gold and diamond necklace.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_45.jpg,necklace,a gold and diamond necklace with small circle shape design on it.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_46.jpg,necklace,a gold necklace with a white and black beads,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_47.jpg,necklace,a necklace with a pink flower on it,,,,Necklace
data/Jewellery_Data\necklace\necklace_48.jpg,necklace,a gold necklace with a diamond and a gold chain,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_49.jpg,necklace,a gold necklace with diamonds,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_50.jpg,necklace,a gold necklace  with a small crown pendant ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_51.jpg,necklace,a gold double layer necklace with a flower design,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_52.jpg,necklace,a gold chain necklace with a flower shape pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_53.jpg,necklace,a gold double layer necklace with flower pendant on both.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_54.jpg,necklace,a gold bracelet with a sunflower like pendant.,Gold,,,"Necklace,Bracelet"
data/Jewellery_Data\necklace\necklace_55.jpg,necklace,a silver necklace with a white flower like big pendant on it,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_56.jpg,necklace,a necklace with a pink flower like big pendant on it,,,,Necklace
data/Jewellery_Data\necklace\necklace_57.jpg,necklace,a necklace with a black flower like big pendant on it,,,,Necklace
data/Jewellery_Data\necklace\necklace_58.jpg,necklace,a necklace with a white S shape like diamond pendant on it.,Diamond,Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_59.jpg,necklace,a necklace with a white S shape like diamond pendant and pink flower on it.,Diamond,Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_6.jpg,necklace,a gold necklace with a purple heart shaped pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_60.jpg,necklace,a necklace with a white S shape like diamond pendant and black  flower on it.,Diamond,Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_61.jpg,necklace,a silver necklace with a silver and diamond flower pendant.,"Diamond,Silver",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_62.jpg,necklace,a silver necklace with a flower  shaped pendant and diamond on it ,"Diamond,Silver",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_63.jpg,necklace,a silver necklace with a black flower shaped pendant and diamond on it.,"Diamond,Silver",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_64.jpg,necklace,silver necklace with a white  flower  shaped pendant and diamond on it ,"Diamond,Silver",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_65.jpg,necklace,a necklace with a glass flower shape on it.,,,,Necklace
data/Jewellery_Data\necklace\necklace_66.jpg,necklace,a necklace with a glass flower shape on it.,,,,Necklace
data/Jewellery_Data\necklace\necklace_67.jpg,necklace,a necklace with a glass flower shape on it.,,,,Necklace
data/Jewellery_Data\necklace\necklace_68.jpg,necklace,a necklace with a black flower shape on it.,,,,Necklace
data/Jewellery_Data\necklace\necklace_69.jpg,necklace,a silver necklace with a blue and white pendant,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_7.jpg,necklace,a gold necklace with a blue heart,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_70.jpg,necklace,a necklace with a green and white stone pendant,,,,Necklace
data/Jewellery_Data\necklace\necklace_71.jpg,necklace,a silver diamond necklace with a curved design pendant.,"Diamond,Silver",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_72.jpg,necklace,a rose gold necklace with leaf shape diamonds pendant ,"Gold,Diamond,Rose Gold",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_73.jpg,necklace,a gold necklace with a two leaf interlinked making a pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_74.jpg,necklace,the gold and diamond necklace with leaf like shape ,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_75.jpg,necklace,a gold necklace with a diamond pendant and fringe.,"Gold,Diamond",Diamond,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_76.jpg,necklace,a gold necklace with a diamond shape flower pendant and a two fringe.,"Gold,Diamond",Diamond,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_77.jpg,necklace,a gold necklace with a diamond shape flower pendant and a two fringe.,"Gold,Diamond",Diamond,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_78.jpg,necklace,a gold pendant with a little angel holding a diamond,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_79.jpg,necklace,the love knot pendant,,,,Necklace
data/Jewellery_Data\necklace\necklace_80.jpg,necklace,a gold necklace with a white small heart and a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_81.jpg,necklace,a gold necklace with a cross charm.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_82.jpg,necklace,a necklace with emerald and diamond like a peacock feathers.,Diamond,"Diamond,Emerald",,Necklace
data/Jewellery_Data\necklace\necklace_83.jpg,necklace,a necklace with peacocks shape  and pearls.,,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_84.jpg,necklace,a four layer necklace with pink flowers and silver beads on it.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_85.jpg,necklace,a four layer necklace with pearls and gold beads.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_86.jpg,necklace,a five layer necklace with pearls and gold work on it.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_87.jpg,necklace,a gold necklace with pink stones and gold design by Circle and each circle are connected to each other ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_88.jpg,necklace,a gold and diamond necklace with each fringe has a leaf like pendant.,"Gold,Diamond",Diamond,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_89.jpg,necklace,a necklace with green and white stones and a lotus like pendant.,,,,Necklace
data/Jewellery_Data\necklace\necklace_9.jpg,necklace,a gold necklace with a purple stone and a flower like pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_91.jpg,necklace,a gold choker like necklace with diamond.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_93.jpg,necklace,a gold choker like necklace with diamonds.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_95.jpg,necklace,a gold bracelet with diamonds,"Gold,Diamond",Diamond,,Bracelet
data/Jewellery_Data\necklace\necklace_96.jpg,necklace,a gold choker like necklace with a diamond bar.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_97.jpg,necklace,a gold necklace with two birds on it,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_98.jpg,necklace,a gold necklace with the word love ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_99.jpg,necklace,a gold two layer necklace with the word love on it and a arrow sign,Gold,,,Necklace
data/Jewellery_Data\ring\ring_001.jpg,ring,"A white gold or platinum diamond eternity band with multiple round diamonds in a prong setting, giving it a luxurious and sparkling appearance.","Gold,White Gold,Diamond,Platinum",Diamond,,Ring
data/Jewellery_Data\ring\ring_002.jpg,ring,"An eternity-style band with slightly larger round diamonds spaced evenly along the band, offering a delicate yet elegant look.",Diamond,Diamond,,Ring
data/Jewellery_Data\ring\ring_003.jpg,ring,"A classic solitaire engagement ring featuring a round brilliant-cut diamond set in a six-prong setting on a sleek, polished white gold or platinum band.","Gold,White Gold,Diamond,Platinum",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_004.jpg,ring,A gold men's ring with a structured design featuring four small diamonds set in a square arrangement on a broad band with cut-out details.,"Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_005.jpg,ring,"A delicate gold ring with an artistic heart-shaped design and small diamond embellishments, possibly a promise or symbolic ring.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_006.jpg,ring,"A gold bangle-style ring with intricate geometric cut-out patterns and diamond embellishments, offering a stylish and modern look.","Gold,Diamond",Diamond,Men,"Ring,Bracelet"
data/Jewellery_Data\ring\ring_007.jpg,ring,"A pair of intertwined gold wedding bands with a polished finish, symbolizing unity and commitment.",Gold,,Men,Ring
data/Jewellery_Data\ring\ring_008.jpg,ring,"A pair of gold rings, one featuring a solitaire diamond and the other adorned with blue evil-eye motifs and diamond accents, blending tradition with modern elegance.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_009.jpg,ring,"A gold engagement ring with a large solitaire round-cut diamond set on a double-band structure, making it a bold and eye-catching statement piece.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_013.jpg,ring,"A simplified illustration of a gold ring features a classic diamond solitaire design. The diamond is depicted with geometric lines, set atop a traditional band.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_014.jpg,ring,"A yellow gold ring features a gentle curve across the finger, accented with a row of small diamonds. The design includes a split shank detail, adding a subtle contemporary touch.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_015.jpg,ring,"A rose gold ring features a round brilliant center diamond held by a floral, leaf-inspired setting. The band and setting are intricately detailed with milgrain and smaller diamonds, creating a vintage, nature-inspired look.","Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_016.jpg,ring,"A white gold solitaire ring features a round brilliant diamond secured in a six-prong setting. The simple, elegant design highlights the diamond's brilliance.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_017.jpg,ring,"A white gold or platinum ring features a round brilliant center diamond in a halo setting. The band curves and is also pavé-set with diamonds, creating a swirling, dynamic design","Gold,White Gold,Diamond,Platinum",Diamond,,Ring
data/Jewellery_Data\ring\ring_018.jpg,ring,"A rose gold ring features a sculptural, open heart design","Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_019.jpg,ring,"A gold ring features a faceted, heart-shaped gemstone in a vibrant red hue. The ring has a classic design with a split shank, emphasizing the heart-shaped stone.",Gold,,,Ring
data/Jewellery_Data\ring\ring_020.jpg,ring,"A yellow gold band features a row of five graduated, round brilliant diamonds. The diamonds are set in a prong setting, creating a classic and elegant design","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_021.jpg,ring,"A platinum ring showcases a round brilliant diamond held by a classic, prong setting. The diamond appears to be elevated, emphasizing its brilliance and size..","Diamond,Platinum",Diamond,,Ring
data/Jewellery_Data\ring\ring_022.jpg,ring,"A rose gold-tone ring features a heart-shaped centerpiece pavé-set with clear crystals. The design offers a romantic and sparkling statement with a warm, rosy hue","Gold,Rose Gold",,Men,Ring
data/Jewellery_Data\ring\ring_023.jpg,ring,"A yellow gold ring features two interlocking heart shapes, one outlined with sparkling diamonds. The hearts symbolize love and connection in a delicate, romantic design.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_024.jpg,ring,"Two classic, polished yellow gold wedding bands are intertwined. The simple, rounded design symbolizes unity and commitment.",Gold,,Men,Ring
data/Jewellery_Data\ring\ring_025.jpg,ring,"A white gold ring features a round brilliant center diamond encircled by a double halo of smaller diamonds. The band has a twisted design, also adorned with pavé diamonds, adding a touch of elegance and sparkle.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_026.jpg,ring,A white gold ring features a vibrant blue sapphire center stone surrounded by a diamond halo. The band is also adorned with diamonds and milgrain detailing.,"Gold,White Gold,Diamond","Diamond,Sapphire",,Ring
data/Jewellery_Data\ring\ring_027.jpg,ring,"A gold ring features intricate, glowing script in an Elvish-like language around its surface.",Gold,,,Ring
data/Jewellery_Data\ring\ring_028.jpg,ring,"A two-tone ring features a round brilliant diamond set in a crown-like setting with yellow gold detailing. The band has a split shank design with blue sapphires and gold accents, reminiscent of Leicester City's colors and crest.","Gold,Diamond","Diamond,Sapphire",,Ring
data/Jewellery_Data\ring\ring_029.jpg,ring,"A yellow gold ring features a bypass design with two round brilliant diamonds. The band and setting are channel-set with smaller diamonds, creating a continuous line ","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_030.jpg,ring,"A 9ct gold ring by S. Michael features a round zircon in a four-prong setting. The band has a twisted design, adding a unique and elegant touch.",Gold,,,Ring
data/Jewellery_Data\ring\ring_031.jpg,ring,"A Gispan 925 sterling silver ring features a round-cut diamond in a floral-inspired setting. The band and setting are adorned with leaf-shaped details and smaller diamonds, creating an elegant, nature-inspired design.","Diamond,Silver",Diamond,,Ring
data/Jewellery_Data\ring\ring_032.jpg,ring,A Solitaire ring features an emerald-cut diamond in a four-prong setting. The platinum band is pavé-set with diamonds.,"Diamond,Platinum","Diamond,Emerald",,Ring
data/Jewellery_Data\ring\ring_033.jpg,ring,A ring features a rose gold-tone band with two interlocking sections pavé-set with clear crystals. The design creates a modern and sculptural look.,"Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_034.jpg,ring,"A yellow gold ring features a heart-shaped center stone flanked by two smaller stones. The inside of the band is engraved with ""I LOVE YOU.""",Gold,,,Ring
data/Jewellery_Data\ring\ring_035.jpg,ring,"A 14k yellow gold engagement ring features a round brilliant cut diamond in a six-prong setting. The simple, polished band highlights the diamond's brilliance and clarity.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_036.jpg,ring,"A rose gold-tone ring features a square cubic zirconia center stone in a halo setting. The band is also pavé-set with cubic zirconia, creating a continuous line of sparkle.","Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_037.jpg,ring,"A yellow gold ring features a cushion-cut yellow diamond in a halo setting. The halo is comprised of smaller white diamonds, creating a striking contrast.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_038.jpg,ring,"A white gold ring features a round blue sapphire center stone in a bezel setting. The sapphire is surrounded by a double halo of diamonds with milgrain detailing, creating a vintage-inspired look.","Gold,White Gold,Diamond","Diamond,Sapphire",,Ring
data/Jewellery_Data\ring\ring_039.jpg,ring,"A Swarovski ring features a butterfly motif adorned with clear crystals. The ring also includes a teardrop-shaped crystal and a pavé-set band, creating a whimsical and elegant design.",,,,Ring
data/Jewellery_Data\ring\ring_040.jpg,ring,"An 18k white gold engagement ring features a square cluster of diamonds at its center. The band is also pavé-set with diamonds, adding to the ring's overall sparkle.","Gold,White Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_041.jpg,ring,"A two-tone ring features a round brilliant center stone in a four-prong setting. The band has a unique, interwoven design with diamond accents, and is stamped ""375"" indicating 9ct gold.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_042.jpg,ring,"A two-tone ring features two interlocking heart shapes, one in yellow gold and the other in white gold, each holding a diamond. The band also features channel-set diamonds, adding to the ring's sparkle.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_043.jpg,ring,"A white gold ring features a bypass design with two diamond clusters. The band and setting are pavé-set with smaller diamonds, creating a sparkling and contemporary look","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_044.jpg,ring,"A platinum or white gold solitaire ring showcases a round brilliant diamond in a four-prong setting. The simple, polished band highlights the diamond's size and brilliance.","Gold,White Gold,Diamond,Platinum",Diamond,,Ring
data/Jewellery_Data\ring\ring_045.jpg,ring,"A white gold ring features a round brilliant center diamond in a halo setting. The band has a unique, interwoven design with diamond accents, creating a contemporary and elegant look.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_046.jpg,ring,"A yellow gold ring from Candere features a round brilliant diamond in a four-prong setting. The band has a split shank design pavé-set with diamonds, adding extra sparkle.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_047.jpg,ring,This is a Celtic wedding ring made of yellow gold. It features intricate Celtic knotwork patterns engraved around the band.,Gold,,,Ring
data/Jewellery_Data\ring\ring_048.jpg,ring,"A yellow gold ring features a central round diamond surrounded by a swirling, floral-inspired design. The setting is pavé-set with numerous smaller diamonds, creating a bold and sparkling statement","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_049.jpg,ring,"A two-tone ring features a round brilliant center stone in a floral-inspired halo setting. The band has a split shank design with intricate details, combining white and rose gold tones","Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_050.jpg,ring,"A delicate rose gold ring features a central pearl flanked by clusters of small, sparkling stones, likely cubic zirconia or crystals. The design has a subtle, vintage-inspired elegance.","Gold,Rose Gold",Pearl,,Ring
data/Jewellery_Data\ring\ring_051.jpg,ring,"A rose gold ring features the ""BVLGARI BVLGARI"" inscription around its band, punctuated by alternating blue sapphire and green emerald cabochons.","Gold,Rose Gold","Emerald,Sapphire",,Ring
data/Jewellery_Data\ring\ring_052.jpg,ring,"A platinum ring features a three-stone design with a larger center diamond flanked by two smaller diamonds. The band is also accented with channel-set diamonds, enhancing the ring's sparkle.","Diamond,Platinum",Diamond,,Ring
data/Jewellery_Data\ring\ring_053.jpg,ring,A thin yellow gold band features a horizontally set baguette-cut diamond. The minimalist design showcases the simplicity and elegance of the stone.,"Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_054.jpg,ring,"A platinum or white gold ring features a light blue, possibly aquamarine, gemstone in a six-prong setting. The stone has a pointed cut, resembling a marquise or pear shape, held securely above a simple, polished band.","Gold,White Gold,Platinum",,,Ring
data/Jewellery_Data\ring\ring_055.jpg,ring,"A rose gold-tone ring features a luminous pearl held in a floral-inspired setting. The band has a smooth, polished finish, complementing the delicate design.","Gold,Rose Gold",Pearl,Men,Ring
data/Jewellery_Data\ring\ring_056.jpg,ring,"A platinum-tone ring features a large, round, clear crystal as its centerpiece. The crystal is encircled by a band of smaller crystals, creating a halo effect, while the band itself is also pavé-set with crystals.",Platinum,,,Ring
data/Jewellery_Data\ring\ring_057.jpg,ring,"A sterling silver ring features a heart-shaped tag engraved with ""Please Return to Tiffany & Co. New York 925.""",Silver,,,Ring
data/Jewellery_Data\ring\ring_058.jpg,ring,"A sterling silver ring features a rose gold circular tag engraved with ""Please Return to Tiffany & Co. New York."" ","Gold,Rose Gold,Silver",,,Ring
data/Jewellery_Data\ring\ring_059.jpg,ring,a white gold engagement ring with a princess cut diamond,"Gold,White Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_060.jpg,ring,"A sterling silver ring features a silver circular tag engraved with ""Please Return to Tiffany & Co. New York."" ",Silver,,,Ring
data/Jewellery_Data\ring\ring_061.jpg,ring,"A Pandora ring features three blue stones, likely crystals, in a graduated design. The band is a slender, polished silver, typical of Pandora's style.",Silver,Sapphire,,Ring
data/Jewellery_Data\ring\ring_062.jpg,ring,"A rose gold ring features a triangular section pavé-set with diamonds and a contrasting section of white mother-of-pearl. The ring has a sculptural, open design.","Gold,Diamond,Rose Gold","Diamond,Pearl",,Ring
data/Jewellery_Data\ring\ring_063.jpg,ring,"The Ring is white gold, featuring a central diamond and a pavé-set fan-shaped motif. The ring is presented against a plain white background.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_065.jpg,ring,"A yellow gold ring features a bow-shaped design at its center, with each side pavé-set with diamonds. The ring has a slender, polished band and a delicate, feminine aesthetic.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_066.jpg,ring,"A simple yellow gold solitaire ring features a round diamond in a six-prong setting. The band is slender and polished, highlighting the diamond's brilliance.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_067.jpg,ring,"A yellow gold ring features a round cluster of diamonds at its center, surrounded by a halo of smaller diamonds. The band has a split shank design with pavé-set diamonds, adding to the ring's overall sparkle.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_068.jpg,ring,"A yellow gold ring features a braided or Celtic knot design, with alternating sections pavé-set with diamonds. The ring has a polished finish and a substantial, textured look.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_069.jpg,ring,"A yellow gold ring features a series of three interconnected, heart-shaped links, each pavé-set with diamonds. The ring has a delicate, openwork design and a polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_070.jpg,ring,"A yellow gold ring features a stylized peacock feather design, with the ""eye"" of the feather depicted in blue and orange enamel. The top half of the feather is pavé-set with diamonds, adding sparkle to the intricate design.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_071.jpg,ring,"A yellow gold ring features a bypass design with two intertwined bands, each set with round diamonds in prong settings. The diamonds are evenly spaced, creating a delicate and sparkling effect.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_072.jpg,ring,"A rose gold ring features a heart-shaped cluster of small, round red stones, likely simulated rubies. A flower-shaped setting with a white stone sits at the heart's center. The band is also pavé-set with the same red stones.","Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_073.jpg,ring,"A simple, polished yellow gold band features a classic domed profile. The ring has a smooth, reflective surface and a timeless, minimalist design.",Gold,,,Ring
data/Jewellery_Data\ring\ring_074.jpg,ring,"A yellow gold ring features a love knot design, with one section pavé-set with diamonds. The band is slender and polished, creating a delicate and romantic piece.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_075.jpg,ring,"A three-band rolling ring, similar in style to a Cartier Trinity ring, features yellow gold, white gold, and rose gold bands.","Gold,White Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_076.jpg,ring,"A yellow gold ring features a heart-shaped knot design with one side pavé-set with diamonds. The ring has a polished finish and a delicate, romantic aesthetic","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_077.jpg,ring,"A yellow gold ring features nine gemstones in a rectangular setting, representing the Navratna (nine gems) in Vedic astrology. The band has a grooved design and a polished finish.",Gold,,,Ring
data/Jewellery_Data\ring\ring_078.jpg,ring,A yellow gold band features a textured finish with a subtle granulated or sandblasted effect. The ring has a flat profile with rounded edges and a polished inner band.,Gold,,,Ring
data/Jewellery_Data\ring\ring_079.jpg,ring,A slim yellow gold band features a hammered or textured finish across its surface. The ring has a slightly rounded profile and a polished inner band.,Gold,,,Ring
data/Jewellery_Data\ring\ring_080.jpg,ring,A yellow gold band features a grooved design with multiple parallel lines running around its circumference. The ring has a polished finish and a slightly rounded profile.,Gold,,,Ring
data/Jewellery_Data\ring\ring_081.jpg,ring,"A classic, polished band in a light-colored metal, likely platinum or white gold, features a slightly domed profile. The ring has a smooth, reflective surface and a timeless, minimalist design.","Gold,White Gold,Platinum",,,Ring
data/Jewellery_Data\ring\ring_082.jpg,ring,"A Caratlane 18kt yellow gold ring features an intricate, floral-inspired openwork design. The center of the flower is accented with a small, round white gold or diamond detail.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_083.jpg,ring,"A yellow gold ring features a stylized, cursive initial ""M"" in white gold, pavé-set with diamonds. The band has a double shank design, adding a contemporary touch.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_084.jpg,ring,"A wide yellow gold band features a textured center panel with a hammered or granulated effect. The edges are smooth and polished, creating a contrast in finishes",Gold,,,Ring
data/Jewellery_Data\ring\ring_085.jpg,ring,"A yellow gold ring features a heart-shaped diamond in a halo setting. The band has a split shank design with pavé-set diamonds, adding extra sparkle.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_086.jpg,ring,"A 925 sterling silver ring features two intertwined hearts, one in rose gold, each set with a small diamond. The band has a split shank design, adding a modern touch.","Gold,Diamond,Rose Gold,Silver",Diamond,,Ring
data/Jewellery_Data\ring\ring_087.jpg,ring,"A yellow gold ring features an emerald-cut emerald in a halo setting. The halo is comprised of small diamonds, creating a classic and elegant design","Gold,Diamond","Diamond,Emerald",,Ring
data/Jewellery_Data\ring\ring_088.jpg,ring,"A yellow gold ring features a curved band with a bezel-set, oval-cut blue topaz gemstone. The design has a modern, minimalist aesthetic.",Gold,Topaz,,Ring
data/Jewellery_Data\ring\ring_089.jpg,ring,"A delicate 14k white gold band is set with small, round diamonds along its top half. The diamonds are likely pavé-set, creating a continuous line of sparkle.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_090.jpg,ring,"A yellow gold ring features a round purple amethyst, set in a halo of diamonds. The setting has an intricate, open design with swirling details","Gold,Diamond","Diamond,Amethyst",,Ring
data/Jewellery_Data\ring\ring_091.jpg,ring,"A yellow gold ring features a round diamond in a partial halo setting. The band has a bypass design with pavé-set diamonds, creating a swirling, elegant look.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_092.jpg,ring,"A yellow gold ring features a floral design with a cluster of diamonds at its center. The band has a bypass design with a slender, polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_093.jpg,ring,"A yellow gold ring features a round diamond in a prong setting, flanked by two open heart shapes. The band has a slender, polished finish, creating a delicate and romantic piece.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_094.jpg,ring,"A yellow gold ring features a floral design with a cluster of diamonds at its center. The band has a bypass design with pavé-set diamonds, adding to the ring's sparkle.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_095.jpg,ring,"A rose gold ring features a pear-shaped ruby in a prong setting. The ring also has a stylized heart-shaped accent with small diamonds, creating a romantic and elegant design.","Gold,Diamond,Rose Gold","Diamond,Ruby",Men,Ring
data/Jewellery_Data\ring\ring_096.jpg,ring,"A yellow gold ring features a square cluster of nine diamonds in a square setting. The band has an intricate, openwork design with geometric patterns.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_097.jpg,ring,"A two-tone ring features a square rose gold panel with a single diamond at its center. The band is crafted in white gold with a grooved design, creating a contemporary and elegant look.","Gold,White Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_098.jpg,ring,"A white gold ring features three small diamonds set in square bezels. The band has a bypass design with a slender, polished finish.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_099.jpg,ring,"A two-tone ring spells out the word ""LOVE"" in a stylized font. The ""O"" is represented by a rose gold heart with a small diamond at its center. The rest of the ring is crafted in white gold","Gold,White Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_100.jpg,ring,"A yellow gold ring features two small diamonds set in leaf-shaped bezels. The band has a slender, bypass design, creating a delicate and nature-inspired piece.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_101.jpg,ring,"A yellow gold ring features two small diamonds set in leaf-shaped bezels. The band has a slender, bypass design, creating a delicate and nature-inspired piece.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_102.jpg,ring,"A white gold ring spells out the word ""LOVE"" with a heart-shaped cluster of diamonds as the ""O"". The band has a slender, polished finish, creating a delicate and romantic design","Gold,White Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_103.jpg,ring,"A yellow gold ring features a knot design with one section pavé-set with diamonds. The ring has a polished finish and a slender, elegant profile.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_104.jpg,ring,"A yellow gold ring features a heart-shaped setting with a single diamond at its center. The band has an open, bypass design, creating a delicate and romantic look.","Gold,Diamond",Diamond,Men,Ring
